 ,Label,Area,Mean,Min,Max,X,Y,Slice
70,Snapshots qualité:20150314_174743_a831_00408ca694a0_c,0,97,97,97,1339.282,396.068,700
71,Snapshots qualité:20150314_174743_a831_00408ca694a0_c,0,183,183,183,944.234,745.180,700
72,Snapshots qualité:20150314_234742_b14c_00408ca694a0_c,0,145,145,145,808.469,553.270,701
73,Snapshots qualité:20150315_054741_88dd_00408ca694a0_c,0,130,130,130,837.051,777.845,702
74,Snapshots qualité:20150315_114740_9036_00408ca694a0_c,0,150,150,150,879.924,809.490,703
75,Snapshots qualité:20150315_114740_9036_00408ca694a0_c,0,175,175,175,1069.792,616.560,703
76,Snapshots qualité:20150315_234740_9303_00408ca694a0_c,0,184,184,184,1116.749,712.514,705
77,Snapshots qualité:20150315_234740_9303_00408ca694a0_c,0,101,101,101,1155.539,588.998,705
78,Snapshots qualité:20150315_234740_9303_00408ca694a0_c,0,133,133,133,1062.646,603.289,705
79,Snapshots qualité:20150316_054739_903f_00408ca694a0_c,0,119,119,119,1069.792,622.684,706
80,Snapshots qualité:20150316_054739_903f_00408ca694a0_c,0,177,177,177,1056.522,840.113,706
81,Snapshots qualité:20150316_114737_b6aa_00408ca694a0_c,0,119,119,119,859.508,772.741,707
82,Snapshots qualité:20150316_174736_bbff_00408ca694a0_c,0,170,170,170,686.994,926.881,708
83,Snapshots qualité:20150316_174736_bbff_00408ca694a0_c,0,178,178,178,1050.397,663.516,708
84,Snapshots qualité:20150317_114735_bfe8_00408ca694a0_c,0,156,156,156,1100.416,586.957,711
85,Snapshots qualité:20150317_114735_bfe8_00408ca694a0_c,0,118,118,118,734.972,1069.792,711
86,Snapshots qualité:20150317_174734_abe2_00408ca694a0_c,0,142,142,142,1048.355,596.144,712
87,Snapshots qualité:20150317_174734_abe2_00408ca694a0_c,0,117,117,117,1051.418,523.667,712
88,Snapshots qualité:20150319_054728_8359_00408ca694a0_c,0,168,168,168,1070.813,608.393,718
89,Snapshots qualité:20150319_054728_8359_00408ca694a0_c,0,137,137,137,937.089,744.159,718
90,Snapshots qualité:20150319_054728_8359_00408ca694a0_c,0,165,165,165,752.325,1041.210,718
91,Snapshots qualité:20150319_174726_99f5_00408ca694a0_c,0,129,129,129,1096.333,616.560,720
92,Snapshots qualité:20150319_174726_99f5_00408ca694a0_c,0,177,177,177,1062.646,663.516,720
93,Snapshots qualité:20150320_054724_b14c_00408ca694a0_c,0,192,192,192,1062.646,654.329,722
94,Snapshots qualité:20150320_174723_99f5_00408ca694a0_c,0,50,50,50,662.495,1041.210,724
95,Snapshots qualité:20150321_054721_8f0c_00408ca694a0_c,0,163,163,163,686.994,1011.607,726
96,Snapshots qualité:20150321_054721_8f0c_00408ca694a0_c,0,155,155,155,881.966,815.614,726
97,Snapshots qualité:20150321_114721_9520_00408ca694a0_c,0,173,173,173,746.200,1011.607,727
98,Snapshots qualité:20150322_054718_9cff_00408ca694a0_c,0,146,146,146,1101.437,591.040,730
99,Snapshots qualité:20150322_234715_8359_00408ca694a0_c,0,158,158,158,1045.293,832.968,733
100,Snapshots qualité:20150323_054715_b40d_00408ca694a0_c,0,168,168,168,1056.522,504.272,734
101,Snapshots qualité:20150323_054715_b40d_00408ca694a0_c,0,179,179,179,789.074,915.652,734
102,Snapshots qualité:20150323_114713_b14c_00408ca694a0_c,0,174,174,174,1074.896,478.752,735
103,Snapshots qualité:20150323_174713_b6aa_00408ca694a0_c,0,135,135,135,1045.293,568.582,736
104,Snapshots qualité:20150323_234713_abe2_00408ca694a0_c,0,137,137,137,880.945,755.388,737
105,Snapshots qualité:20150324_054711_8e7c_00408ca694a0_c,0,140,140,140,1084.083,606.352,738
106,Snapshots qualité:20150324_054711_8e7c_00408ca694a0_c,0,170,170,170,877.883,807.448,738
107,Snapshots qualité:20150324_114711_90b2_00408ca694a0_c,0,141,141,141,978.941,666.578,739
108,Snapshots qualité:20150324_114711_90b2_00408ca694a0_c,0,126,126,126,776.824,752.325,739
109,Snapshots qualité:20150324_234708_88dd_00408ca694a0_c,0,195,195,195,1036.106,837.051,741
110,Snapshots qualité:20150324_234708_88dd_00408ca694a0_c,0,84,84,84,1126.957,452.212,741
111,Snapshots qualité:20150325_054707_a831_00408ca694a0_c,0,192,192,192,877.883,800.302,742
112,Snapshots qualité:20150325_114707_a918_00408ca694a0_c,0,80,80,80,780.907,838.072,743
113,Snapshots qualité:20150325_114707_a918_00408ca694a0_c,0,156,156,156,1152.476,457.316,743
114,Snapshots qualité:20150325_174706_b14c_00408ca694a0_c,0,197,197,197,880.945,799.282,744
115,Snapshots qualité:20150325_174706_b14c_00408ca694a0_c,0,223,223,223,1056.522,591.040,744
116,Snapshots qualité:20150325_234705_86d0_00408ca694a0_c,0,133,133,133,757.429,1023.856,745
117,Snapshots qualité:20150325_234705_86d0_00408ca694a0_c,0,135,135,135,1056.522,559.395,745
118,Snapshots qualité:20150325_234705_86d0_00408ca694a0_c,0,167,167,167,1492.401,791.115,745
119,Snapshots qualité:20150326_054704_acb7_00408ca694a0_c,0,168,168,168,1091.229,678.828,746
120,Snapshots qualité:20150326_114704_86c1_00408ca694a0_c,0,160,160,160,1012.628,848.280,747
121,Snapshots qualité:20150326_174702_a7c0_00408ca694a0_c,0,196,196,196,1033.043,825.822,748
122,Snapshots qualité:20150327_054701_9036_00408ca694a0_c,0,172,172,172,859.508,790.095,750
123,Snapshots qualité:20150327_174700_8c7f_00408ca694a0_c,0,121,121,121,763.554,1050.397,752
124,Snapshots qualité:20150327_234658_8f0c_00408ca694a0_c,0,116,116,116,763.554,1050.397,753
125,Snapshots qualité:20150327_234658_8f0c_00408ca694a0_c,0,189,189,189,1029.981,832.968,753
126,Snapshots qualité:20150328_054657_b6aa_00408ca694a0_c,0,163,163,163,1094.291,708.431,754
127,Snapshots qualité:20150328_054657_b6aa_00408ca694a0_c,0,151,151,151,713.535,947.297,754
128,Snapshots qualité:20150328_114656_b24a_00408ca694a0_c,0,125,125,125,1054.480,510.397,755
129,Snapshots qualité:20150328_114656_b24a_00408ca694a0_c,0,178,178,178,959.546,752.325,755
130,Snapshots qualité:20150328_174657_9036_00408ca694a0_c,0,171,171,171,886.049,758.450,756
131,Snapshots qualité:20150328_234655_b14c_00408ca694a0_c,0,154,154,154,879.924,832.968,757
132,Snapshots qualité:20150328_234655_b14c_00408ca694a0_c,0,166,166,166,1064.688,613.497,757
133,Snapshots qualité:20150330_174649_bf19_00408ca694a0_c,0,172,172,172,1018.752,857.467,764
134,Snapshots qualité:20150330_234648_a986_00408ca694a0_c,0,159,159,159,1035.085,553.270,765
135,Snapshots qualité:20150331_114646_b9c8_00408ca694a0_c,0,173,173,173,1065.709,601.248,767
136,Snapshots qualité:20150331_114646_b9c8_00408ca694a0_c,0,169,169,169,944.234,747.221,767
137,Snapshots qualité:20150331_114646_b9c8_00408ca694a0_c,0,109,109,109,871.758,762.533,767
138,Snapshots qualité:20150331_114646_b9c8_00408ca694a0_c,0,162,162,162,195.992,633.913,767
139,Snapshots qualité:20150331_174645_bb7c_00408ca694a0_c,0,178,178,178,1075.917,499.168,768
140,Snapshots qualité:20150331_234645_85dd_00408ca694a0_c,0,123,123,123,1124.915,527.750,769
141,Snapshots qualité:20150331_234645_85dd_00408ca694a0_c,0,181,181,181,878.904,800.302,769
142,Snapshots qualité:20150401_114644_8c7f_00408ca694a0_c,0,159,159,159,865.633,819.698,771
143,Snapshots qualité:20150401_234642_b14c_00408ca694a0_c,0,85,85,85,1176.975,813.573,773
144,Snapshots qualité:20150402_054640_a831_00408ca694a0_c,0,130,130,130,1139.206,621.664,774
145,Snapshots qualité:20150402_114639_b24a_00408ca694a0_c,0,115,115,115,1103.478,677.807,775
146,Snapshots qualité:20150402_174639_bf19_00408ca694a0_c,0,154,154,154,1057.542,605.331,776
147,Snapshots qualité:20150402_234638_86d0_00408ca694a0_c,0,153,153,153,926.881,759.471,777
148,Snapshots qualité:20150402_234638_86d0_00408ca694a0_c,0,106,106,106,507.335,1040.189,777
149,Snapshots qualité:20150403_114637_a831_00408ca694a0_c,0,158,158,158,913.611,749.263,779
150,Snapshots qualité:20150403_234634_b6aa_00408ca694a0_c,0,121,121,121,1063.667,627.788,781
151,Snapshots qualité:20150404_054634_bbff_00408ca694a0_c,0,176,176,176,1031.002,798.261,782
152,Snapshots qualité:20150404_114633_8f0c_00408ca694a0_c,0,164,164,164,1061.626,549.187,783
153,Snapshots qualité:20150405_234628_9303_00408ca694a0_c,0,119,119,119,1100.416,631.871,784
154,Snapshots qualité:20150406_114627_bf19_00408ca694a0_c,0,139,139,139,1058.563,616.560,785
155,Snapshots qualité:20150406_174625_b50c_00408ca694a0_c,0,149,149,149,766.616,1061.626,786
156,Snapshots qualité:20150406_234624_8868_00408ca694a0_c,0,169,169,169,872.779,782.949,787
157,Snapshots qualité:20150407_054624_bbff_00408ca694a0_c,0,140,140,140,941.172,739.055,788
158,Snapshots qualité:20150407_114623_b9c8_00408ca694a0_c,0,170,170,170,1062.646,676.786,789
159,Snapshots qualité:20150407_114623_b9c8_00408ca694a0_c,0,54,54,54,748.242,1017.732,789
160,Snapshots qualité:20150407_174622_9cff_00408ca694a0_c,0,85,85,85,1536.295,812.552,790
161,Snapshots qualité:20150407_234621_b14c_00408ca694a0_c,0,155,155,155,1066.730,603.289,791
162,Snapshots qualité:20150408_114619_8882_00408ca694a0_c,0,171,171,171,1042.231,500.189,793
163,Snapshots qualité:20150408_114619_8882_00408ca694a0_c,0,131,131,131,723.743,1019.773,793
164,Snapshots qualité:20150408_174618_b9c8_00408ca694a0_c,0,134,134,134,1042.231,500.189,794
165,Snapshots qualité:20150408_174618_b9c8_00408ca694a0_c,0,145,145,145,768.658,893.195,794
166,Snapshots qualité:20150409_114616_9cff_00408ca694a0_c,0,165,165,165,1017.732,727.826,797
167,Snapshots qualité:20150409_234614_a831_00408ca694a0_c,0,163,163,163,792.136,557.354,799
168,Snapshots qualité:20150410_174612_b24a_00408ca694a0_c,0,170,170,170,822.760,795.198,802
169,Snapshots qualité:20150410_234611_99f5_00408ca694a0_c,0,149,149,149,885.028,859.508,803
170,Snapshots qualité:20150411_114609_a61e_00408ca694a0_c,0,176,176,176,1019.773,630.851,805
171,Snapshots qualité:20150412_054607_88dd_00408ca694a0_c,0,160,160,160,890.132,808.469,808
172,Snapshots qualité:20150412_114606_bb7c_00408ca694a0_c,0,156,156,156,811.531,819.698,809
173,Snapshots qualité:20150412_174605_b50c_00408ca694a0_c,0,146,146,146,982.004,412.401,810
174,Snapshots qualité:20150412_234604_a986_00408ca694a0_c,0,203,203,203,957.505,374.631,811
175,Snapshots qualité:20150412_234604_a986_00408ca694a0_c,0,215,215,215,1072.854,615.539,811
176,Snapshots qualité:20150412_234604_a986_00408ca694a0_c,0,248,248,248,875.841,808.469,811
